url,filename,num_chars
https://bvrithyderabad.edu.in/information/print-media-coverage/,information_print_media_coverage.txt,8892
https://bvrithyderabad.edu.in/information/holidays/,information_holidays.txt,8830
https://bvrithyderabad.edu.in/alumni-speak/,alumni_speak.txt,8581
https://bvrithyderabad.edu.in/entry-exit-system/,entry_exit_system.txt,8693
https://bvrithyderabad.edu.in/iks-and-nep/,iks_and_nep.txt,8844
https://bvrithyderabad.edu.in/contact-us/,contact_us.txt,8859
https://bvrithyderabad.edu.in/governing-body-member/,governing_body_member.txt,9681
https://bvrithyderabad.edu.in/differentiators/iic-bvrith/,differentiators_iic_bvrith.txt,10033
https://bvrithyderabad.edu.in/committees/disciplinary-committee/,committees_disciplinary_committee.txt,8984
https://bvrithyderabad.edu.in/committees/sc-and-st-committee/,committees_sc_and_st_committee.txt,8503
https://bvrithyderabad.edu.in/committees/sexual-harassment-committee/,committees_sexual_harassment_committee.txt,8948
https://bvrithyderabad.edu.in/committees/ombudsperson/,committees_ombudsperson.txt,8740
https://bvrithyderabad.edu.in/committees/anti-ragging-committee/,committees_anti_ragging_committee.txt,8592
https://bvrithyderabad.edu.in/committees/grievance-redressal-committee/,committees_grievance_redressal_committee.txt,9017
https://bvrithyderabad.edu.in/committees/internal-complaints-committee/,committees_internal_complaints_committee.txt,8837
https://bvrithyderabad.edu.in/committees/institution-industry-cell/,committees_institution_industry_cell.txt,8834
https://bvrithyderabad.edu.in/committees/examination-committee/,committees_examination_committee.txt,8508
https://bvrithyderabad.edu.in/research/about-r-d/,research_about_r_d.txt,10382
https://bvrithyderabad.edu.in/research/faculty-domain-areas/,research_faculty_domain_areas.txt,16765
https://bvrithyderabad.edu.in/research/ph-d-awarded/,research_ph_d_awarded.txt,10834
https://bvrithyderabad.edu.in/research/faculty-publications/,research_faculty_publications.txt,9432
https://bvrithyderabad.edu.in/research/research-projects/,research_research_projects.txt,17024
https://bvrithyderabad.edu.in/research/consultancy-projects/,research_consultancy_projects.txt,15207
https://bvrithyderabad.edu.in/research/funded-fdps-conferences/,research_funded_fdps_conferences.txt,9964
https://bvrithyderabad.edu.in/research/patents-filed/,research_patents_filed.txt,82618
https://bvrithyderabad.edu.in/research/patents-granted/,research_patents_granted.txt,10374
https://bvrithyderabad.edu.in/research/r-d-center/,research_r_d_center.txt,9870
https://bvrithyderabad.edu.in/research/coes/,research_coes.txt,9526
https://bvrithyderabad.edu.in/research/research-advisory-committee/,research_research_advisory_committee.txt,10933
https://bvrithyderabad.edu.in/research/research-supervisors/,research_research_supervisors.txt,10591
https://bvrithyderabad.edu.in/research/rd-ethics-committee/,research_rd_ethics_committee.txt,11559
https://bvrithyderabad.edu.in/research/ipr-committee/,research_ipr_committee.txt,10464
https://bvrithyderabad.edu.in/research/seed-funding/,research_seed_funding.txt,10750
https://bvrithyderabad.edu.in/research/plagiarism-tool/,research_plagiarism_tool.txt,10214
https://bvrithyderabad.edu.in/research/research-facility/,research_research_facility.txt,12204
https://bvrithyderabad.edu.in/differentiators/vedic/,differentiators_vedic.txt,11250
https://bvrithyderabad.edu.in/differentiators/vssc/,differentiators_vssc.txt,11789
https://bvrithyderabad.edu.in/differentiators/counselling-by-psychologist/,differentiators_counselling_by_psychologist.txt,9821
https://bvrithyderabad.edu.in/differentiators/wise-women-in-software-engineering/,differentiators_wise_women_in_software_engineering.txt,13832
https://bvrithyderabad.edu.in/differentiators/assistive-technology-lab/,differentiators_assistive_technology_lab.txt,13973
https://bvrithyderabad.edu.in/differentiators/gsac/,differentiators_gsac.txt,10578
https://bvrithyderabad.edu.in/differentiators/iot-maker-space/,differentiators_iot_maker_space.txt,12413
https://bvrithyderabad.edu.in/differentiators/drone-technology-laboratory/,differentiators_drone_technology_laboratory.txt,9927
https://bvrithyderabad.edu.in/differentiators/entrepreneurship-development-cell-edc/,differentiators_entrepreneurship_development_cell_edc.txt,20788
https://bvrithyderabad.edu.in/differentiators/sdg/,differentiators_sdg.txt,13656
https://bvrithyderabad.edu.in/differentiators/nasscom/,differentiators_nasscom.txt,18716
https://bvrithyderabad.edu.in/differentiators/student-affairs-council-sac/,differentiators_student_affairs_council_sac.txt,12227
https://bvrithyderabad.edu.in/placements/training-placement-process/,placements_training_placement_process.txt,13324
https://bvrithyderabad.edu.in/placements/training-and-placement-cell/,placements_training_and_placement_cell.txt,10629
https://bvrithyderabad.edu.in/placements/training-and-placement-team/,placements_training_and_placement_team.txt,10972
https://bvrithyderabad.edu.in/placements/employability-skills/,placements_employability_skills.txt,11778
https://bvrithyderabad.edu.in/placements/internships/,placements_internships.txt,9487
https://bvrithyderabad.edu.in/placements/placement-details/,placements_placement_details.txt,26612
https://bvrithyderabad.edu.in/placements/testimonials/,placements_testimonials.txt,8781
https://bvrithyderabad.edu.in/category/news/,category_news.txt,10378
https://bvrithyderabad.edu.in/category/awards/,category_awards.txt,9985
https://bvrithyderabad.edu.in/alumni/,alumni.txt,8527
